Experimento,k,KMeans_sil,Ward_sil,ARI_km_ward
PCA2,2,0.5825,0.444,0.4022
PCA2,3,0.6136,0.4728,0.4434
PCA2,4,0.5568,0.4915,0.6609
PCA2,5,0.4803,0.5009,0.5933
PCA2,6,0.4875,0.4748,0.6754
PCA2,7,0.4734,0.4514,0.7177
PCA2,8,0.4747,0.413,0.5826
PCA2,9,0.4784,0.4138,0.6269
PCA2,10,0.4786,0.4173,0.6305
PCA3,2,0.533,0.5273,0.8751
PCA3,3,0.5552,0.4555,0.7058
PCA3,4,0.5665,0.4806,0.7298
PCA3,5,0.5112,0.4357,0.5371
PCA3,6,0.4274,0.4322,0.3939
PCA3,7,0.4364,0.3845,0.5967
PCA3,8,0.4462,0.4294,0.7687
PCA3,9,0.4302,0.4286,0.7867
PCA3,10,0.4324,0.4319,0.785
RAW,2,0.4265,0.3807,0.635
RAW,3,0.4213,0.3994,0.7371
RAW,4,0.4243,0.3075,0.671
RAW,5,0.3381,0.303,0.5568
RAW,6,0.3308,0.3087,0.6646
RAW,7,0.329,0.2745,0.6611
RAW,8,0.2281,0.1769,0.634
RAW,9,0.2149,0.192,0.5375
RAW,10,0.2287,0.1946,0.6348
